id,objectiveId,relation,targetFramework,targetCode,targetId,reviewStatus,sourceTopicId,sourceStandardKey
https://education.asfai.org/alignments/01e02e65-114f-5cf3-8ec7-66859dd26b8e,https://education.asfai.org/objectives/c2aec65b-9484-5772-b0bf-035119f54552,relatedTo,ccss-ela,W.3.1a,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.3.1a,unreviewed,mt_WKxX-b86Vr,ccss-ela:W.3.1a
https://education.asfai.org/alignments/01e03dc7-e499-5d04-98fb-d8dbb12c2177,https://education.asfai.org/objectives/e6460a44-1356-5018-8b4e-9f5fd29f6890,relatedTo,uk-nc-2013,Y2.Sci.A.2,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Y2.Sci.A.2,unreviewed,mt_L1469gt34A,uk-nc-2013:Y2.Sci.A.2
https://education.asfai.org/alignments/01e344c4-6ee2-5a48-abea-09afcc26740c,https://education.asfai.org/objectives/89ca007a-763c-5960-9c5c-b8a96d8323a8,relatedTo,ccss-ela,RL.4.4,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/RL.4.4,unreviewed,mt_ZanQuV90qi,ccss-ela:RL.4.4
https://education.asfai.org/alignments/01f520c6-9a08-5c2a-8f2e-f971386f402c,https://education.asfai.org/objectives/35909676-789a-523c-8b28-7a83d0f8a7e7,relatedTo,uk-nc-2013,KS3-ENG-W-1b,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/KS3-ENG-W-1b,unreviewed,mt_Qcsl1Z1x0l,uk-nc-2013:KS3-ENG-W-1b
https://education.asfai.org/alignments/0201ac70-5f72-52eb-b45c-43ffe019ac8b,https://education.asfai.org/objectives/d4fdb3c9-35d5-53a0-ba8e-8f24e0eb1ec4,relatedTo,ccss-ela,RL.3.9,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/RL.3.9,unreviewed,mt_GLY3R3YSlf,ccss-ela:RL.3.9
https://education.asfai.org/alignments/024866ad-723b-5bdf-8d2b-41167b31097c,https://education.asfai.org/objectives/c2aec65b-9484-5772-b0bf-035119f54552,relatedTo,ccss-ela,W.4.1a,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.4.1a,unreviewed,mt_WKxX-b86Vr,ccss-ela:W.4.1a
https://education.asfai.org/alignments/02531685-2bb9-5145-bb4b-d86080c1cf38,https://education.asfai.org/objectives/5c6713f3-612a-5080-b4b2-84a1d235c7e5,relatedTo,ccss-ela,L.6.2a,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/L.6.2a,unreviewed,mt_lsO9O-_eZH,ccss-ela:L.6.2a
https://education.asfai.org/alignments/02921c27-4272-58f8-9eb7-8bec3910fe67,https://education.asfai.org/objectives/304466e5-b322-5022-a89f-d13926b3c2ac,relatedTo,ib-pyp-pspe,PSPE.INT.P4.LO.1,https://education.asfai.org/frameworks/ib-pyp-pspe/versions/2009/items/PSPE.INT.P4.LO.1,unreviewed,mt_z98J_Zg2L3,ib-pyp-pspe:PSPE.INT.P4.LO.1
https://education.asfai.org/alignments/029e0aa9-3c9a-5dc3-a5bb-c47e434424aa,https://education.asfai.org/objectives/f54bb153-43f2-54a4-8a57-835090d0f829,relatedTo,uk-nc-2013,KS3.Maths.Geo.4,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/KS3.Maths.Geo.4,unreviewed,mt_ZrsqGVG-Wt,uk-nc-2013:KS3.Maths.Geo.4
https://education.asfai.org/alignments/02b4f978-d5cf-5fbc-9421-081537eed649,https://education.asfai.org/objectives/c01cafbc-6c39-5008-af49-5fcc13ebfab0,relatedTo,ngss-ms,MS-PS1-4,https://education.asfai.org/frameworks/ngss-ms/versions/2013/items/MS-PS1-4,unreviewed,mt_UoqUPI_uNz,ngss-ms:MS-PS1-4
