id,framework,code,sourceKey,sourceVersion,linkedObjectiveCount,textIncludedInAsfaiPackage,sourceLandingPage
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.12.9-12,c3-social-studies,D2.Anth.12.9-12,c3-social-studies:D2.Anth.12.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.13.9-12,c3-social-studies,D2.Anth.13.9-12,c3-social-studies:D2.Anth.13.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.14.9-12,c3-social-studies,D2.Anth.14.9-12,c3-social-studies:D2.Anth.14.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.15.9-12,c3-social-studies,D2.Anth.15.9-12,c3-social-studies:D2.Anth.15.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.2.9-12,c3-social-studies,D2.Anth.2.9-12,c3-social-studies:D2.Anth.2.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.3.9-12,c3-social-studies,D2.Anth.3.9-12,c3-social-studies:D2.Anth.3.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.4.9-12,c3-social-studies,D2.Anth.4.9-12,c3-social-studies:D2.Anth.4.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.5.9-12,c3-social-studies,D2.Anth.5.9-12,c3-social-studies:D2.Anth.5.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.6.9-12,c3-social-studies,D2.Anth.6.9-12,c3-social-studies:D2.Anth.6.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.7.9-12,c3-social-studies,D2.Anth.7.9-12,c3-social-studies:D2.Anth.7.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
